course,degree_program,motivation_transfer_bachelor,motivation_transfer_hs,motivation_current_tech,motivation_job_computing,motivation_relocation,motivation_prof_dev,motivation_personal_enrich,motivation_job_displacement,motivation_it_cert,motivation_financial,motivation_career_change,motivation_career_advancement
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes
,Computer Science,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Liberal Arts,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No
CMP 128 Computer Science I,Information Technology,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes
CMP 128 Computer Science I,Information Technology,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
CMP 128 Computer Science I,Academy Student,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
CMP 128 Computer Science I,Computer Science,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No
CMP 128 Computer Science I,Business Administration ,,,,,,,,,,,,
CMP 128 Computer Science I,Liberal arts,,,,,,,,,,,,
CMP 128 Computer Science I,I am still a senior in high school (Morris County School of Technology) and my school offers a program that allows you to attend a CCM class or classes,,,,,,,,,,,,
CMP 128 Computer Science I,Music Recording ,,,,,,,,,,,,
CMP 128 Computer Science I,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,No,No,No,No,No,No,No
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes
CMP 128 Computer Science I,Bio ,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes
CMP 128 Computer Science I,Liberal Arts,,,,,,,,,,,,
CMP 128 Computer Science I,Mechanical engineering technology,,,,,,,,,,,,
CMP 128 Computer Science I,Mathematics,,,,,,,,,,,,
CMP 128 Computer Science I,Mechanical Engineering,,,,,,,,,,,,
CMP 128 Computer Science I,Electronics Engineering,,,,,,,,,,,,
CMP 128 Computer Science I,Mechanical Engineering ,,,,,,,,,,,,
CMP 128 Computer Science I,CIS Game Development Option,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes
CMP 128 Computer Science I,Information Technology,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No
CMP 128 Computer Science I,Finance/Business ,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No
CMP 128 Computer Science I,Information Technology,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Challenger Program,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No
