course,degree_program,motivation_transfer_bachelor,motivation_transfer_hs,motivation_current_tech,motivation_job_computing,motivation_relocation,motivation_prof_dev,motivation_personal_enrich,motivation_job_displacement,motivation_it_cert,motivation_financial,motivation_career_change,motivation_career_advancement
CMP 239 Internet & Web Page Design,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes
CMP 239 Internet & Web Page Design,Information Technology,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No
CMP 239 Internet & Web Page Design,Information Technology,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes
CMP 239 Internet & Web Page Design,Computer Science,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes
CMP 239 Internet & Web Page Design,CIS Game Development Option,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No
,Computer Science,Yes,No,No,Yes,No,No,No,No,No,No,No,No
CMP 128 Computer Science I,Computer Science,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes
CMP 128 Computer Science I,Information Technology,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
CMP 128 Computer Science I,Economics ,,,,,,,,,,,,
CMP 128 Computer Science I,EDAM share time,,,,,,,,,,,,
CMP 128 Computer Science I,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,nursing,,,,,,,,,,,,
,Computer Science,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes
CMP 128 Computer Science I,Data Analytics Certificate of Achievement,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No
CMP 128 Computer Science I,Challenger Program,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes
CMP 128 Computer Science I,Undecided,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,"I am a student from MCVTS, and I am doing dual enrollment. ",,,,,,,,,,,,
CMP 128 Computer Science I,ShareTime CSIP Program,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No
CMP 128 Computer Science I,Mechanical Engineering technology,,,,,,,,,,,,
CMP 128 Computer Science I,Mechanical Engineering Technology,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No
CMP 128 Computer Science I,Computer Science,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
CMP 128 Computer Science I,Electronic engineering Technology ,,,,,,,,,,,,
CMP 128 Computer Science I,Liberal Arts,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
