course,degree_program,motivation_transfer_bachelor,motivation_transfer_hs,motivation_current_tech,motivation_job_computing,motivation_relocation,motivation_prof_dev,motivation_personal_enrich,motivation_job_displacement,motivation_it_cert,motivation_financial,motivation_career_change,motivation_career_advancement
CMP 131 Fundamentals of Programming (Python),Computer Science,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 131 Fundamentals of Programming (Python),Information Technology,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No
CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,No,Yes,No,No,No,No,Yes,No,No,No
CMP 131 Fundamentals of Programming (Python),Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Business,,,,,,,,,,,,
CMP 131 Fundamentals of Programming (Python),Data Analytics Certificate of Achievement,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No
CMP 131 Fundamentals of Programming (Python),Data Analytics Certificate of Achievement,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes
CMP 130 Intro to IT,Information Technology,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 130 Intro to IT,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
CMP 128 Computer Science I,Computer Science,No,No,No,Yes,No,No,No,No,No,No,No,No
CMP 130 Intro to IT,Information Technology,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
CMP 130 Intro to IT,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes
CMP 131 Fundamentals of Programming (Python),Computer Science,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
CMP 128 Computer Science I,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
CMP 131 Fundamentals of Programming (Python),Mathematics and Science,,,,,,,,,,,,
CMP 128 Computer Science I,Business ,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,"Technical Studies, Applied Associate of Science",Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes
CMP 128 Computer Science I,Undecided,,,,,,,,,,,,
CMP 131 Fundamentals of Programming (Python),Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
CMP 128 Computer Science I,Radiography ,,,,,,,,,,,,
CMP 239 Internet & Web Page Design,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes
CMP 239 Internet & Web Page Design,Digital Media Technology,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No
CMP 239 Internet & Web Page Design,Information Technology,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No
CMP 239 Internet & Web Page Design,Information Technology,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
CMP 239 Internet & Web Page Design,Digital Media Technology,No,No,No,No,No,No,Yes,No,No,No,Yes,No
CMP 239 Internet & Web Page Design,Information Technology,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No
CMP 239 Internet & Web Page Design,Web Development Certificate of Achievement,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
CMP 239 Internet & Web Page Design,Information Technology,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
CMP 239 Internet & Web Page Design,Computer Science,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
CMP 239 Internet & Web Page Design,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
CMP 239 Internet & Web Page Design,Graphic Design ,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes
CMP 128 Computer Science I,Mathematics,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes
CMP 128 Computer Science I,Challenger Program,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
CMP 128 Computer Science I,Biology Environmental Track,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,No,No,No,Yes,No,No,No,No,No,No,No,Yes
CMP 128 Computer Science I,Dual Enrollment,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
CMP 128 Computer Science I,Information Technology,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes
CMP 128 Computer Science I,mechanical engineering technology ,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Electronics engineering technology,,,,,,,,,,,,
CMP 128 Computer Science I,Mechanical Engineering,,,,,,,,,,,,
CMP 128 Computer Science I,Challenger Program,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
CMP 128 Computer Science I,mechanical engineering technology ,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No
CMP 239 Internet & Web Page Design,Graphic Design,,,,,,,,,,,,
CMP 128 Computer Science I,ShareTime CSIP Program,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes
CMP 239 Internet & Web Page Design,Computer Science,Yes,No,No,Yes,No,No,No,No,No,No,No,No
CMP 131 Fundamentals of Programming (Python),Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No
CMP 128 Computer Science I,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
CMP 128 Computer Science I,Undecided,,,,,,,,,,,,
CMP 128 Computer Science I,Mechanical Engineering,,,,,,,,,,,,
CMP 128 Computer Science I,ShareTime EDAM Program,,,,,,,,,,,,
CMP 239 Internet & Web Page Design,Information Technology,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
CMP 128 Computer Science I,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No
CMP 128 Computer Science I,Undecided,,,,,,,,,,,,
CMP 128 Computer Science I,Digital Media Technology,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,No,No,No,No,No
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No
CMP 128 Computer Science I,Liberal Arts Program,,,,,,,,,,,,
CMP 128 Computer Science I,Visiting student,,,,,,,,,,,,
CMP 128 Computer Science I,CIS Game Development Option,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No
CMP 128 Computer Science I,Web Development Certificate of Achievement,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,,,,
CMP 128 Computer Science I,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
CMP 239 Internet & Web Page Design,Digital Media Technology,Yes,No,No,Yes,No,No,No,No,No,No,No,No
CMP 239 Internet & Web Page Design,Digital Media Technology,Yes,No,No,Yes,No,No,No,No,No,No,No,No
CMP 128 Computer Science I,EDAM Sharetime Program,,,,,,,,,,,,
CMP 128 Computer Science I,EDam Share time,,,,,,,,,,,,
CMP 128 Computer Science I,EDAM student,,,,,,,,,,,,
CMP 128 Computer Science I,Business Management,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,,,,
CMP 128 Computer Science I,ShareTime EDAM,,,,,,,,,,,,
CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,,,,
CMP 128 Computer Science I,Challenger Program,Yes,Yes,No,No,No,No,No,No,No,No,No,No
CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes
CMP 239 Internet & Web Page Design,Information Technology,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes
CMP 128 Computer Science I,Engineering Design and Advanced Manufacturing. ,,,,,,,,,,,,
CMP 130 Intro to IT,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 130 Intro to IT,Information Technology,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No
CMP 120 Foundations of Information Security,Information Technology,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 120 Foundations of Information Security,Information Technology,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,CIS Game Development Option,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No
CMP 131 Fundamentals of Programming (Python),Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
CMP 131 Fundamentals of Programming (Python),Information Technology,Yes,No,No,Yes,No,No,No,No,No,No,No,No
CMP 128 Computer Science I,Business Administration,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
CMP 239 Internet & Web Page Design,Graphics Design,,,,,,,,,,,,
CMP 239 Internet & Web Page Design,Graphic Design,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes
CMP 128 Computer Science I,Undecided,,,,,,,,,,,,
CMP 128 Computer Science I,ShareTime CSIP Program,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No
CMP 128 Computer Science I,Challenger Program,No,Yes,No,No,No,No,No,No,No,No,No,Yes
